photo_id,filename,relpath,folder_name,exif_date,exif_date_digitized,year,month,day,hour,minute,mtime,ctime,size,exif_width,exif_height,PIL_width,PIL_height,caption,tags,rating,md5sum
1,DSC_5470.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:07:46,2011:01:30 19:07:46,2011,Jan,30,19,7,2011:02:28 07:49:08,2011:03:12 21:36:57,3.784653,2592,3872,2592,3872,,,,0ad48ca076fda2edf8e536d11f2cf502
2,DSC_5471.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:07:47,2011:01:30 19:07:47,2011,Jan,30,19,7,2011:02:28 07:49:06,2011:03:12 21:36:57,4.198864,2592,3872,2592,3872,,,,09333474aba8c4827fc726c3ceb65b78
3,DSC_5472.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:07:55,2011:01:30 19:07:55,2011,Jan,30,19,7,2011:02:28 07:49:06,2011:03:12 21:36:57,3.84177,2592,3872,2592,3872,,,,b9d22dc3532a8af3416f5fd875fd78e2
4,DSC_5473.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:07:56,2011:01:30 19:07:56,2011,Jan,30,19,7,2011:02:28 07:49:04,2011:03:12 21:36:57,3.753231,2592,3872,2592,3872,,,,8bf5af8bb89a43e92fc220444fc77c03
5,DSC_5474.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:07:57,2011:01:30 19:07:57,2011,Jan,30,19,7,2011:02:28 07:49:04,2011:03:12 21:36:57,3.818205,2592,3872,2592,3872,,,,e81f93c7d038ebaf579a5d7c5123a2f3
6,DSC_5475.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:07:58,2011:01:30 19:07:58,2011,Jan,30,19,7,2011:02:28 07:49:02,2011:03:12 21:36:58,3.921365,2592,3872,2592,3872,,,,ecd24b15f470a9c3550fa66b1e87b1b9
7,DSC_5476.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:08:44,2011:01:30 19:08:44,2011,Jan,30,19,8,2011:02:28 07:49:02,2011:03:12 21:36:58,3.774864,2592,3872,2592,3872,,,,69c00e2d7e70ae7421317d48ca40d273
8,DSC_5477.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:08:52,2011:01:30 19:08:52,2011,Jan,30,19,8,2011:02:28 07:49:02,2011:03:12 21:36:58,3.221734,2592,3872,2592,3872,,,,d1821cc269b9afe6d6ee66505545bcf8
9,DSC_5478.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:08:53,2011:01:30 19:08:53,2011,Jan,30,19,8,2011:02:28 07:49:00,2011:03:12 21:36:58,3.073005,2592,3872,2592,3872,,,,d34ce3942f2f61095b15ef3760c95b16
10,DSC_5479.JPG,2011/Feb_2011/unsorted/2011-02-28--08.44.47,2011-02-28--08.44.47,2011:01:30 19:08:54,2011:01:30 19:08:54,2011,Jan,30,19,8,2011:02:28 07:49:00,2011:03:12 21:36:59,3.12885,2592,3872,2592,3872,,,,ae54c3b5fdbb0d2c185897ae073d0761
